Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787762834444,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0.17980194091796875,0,0,0,0,0,0,0,0,0,0,77.29542541503906,0,0,0,0,0,100,0,204006.9637451172,83522.39074707031,0,34088599552,2147483648,7997579264,0
199,1787762834445,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,65.76765441894531,43.372291564941406,100,43.097591400146484,43.3073616027832,42.997703552246094,43.46219253540039,42.95774459838867,42.96274185180664,42.96274185180664,42.92778015136719,43.437217712402344,43.02766799926758,42.96274185180664,43.022674560546875,43.45719528198242,42.95774459838867,42.95774459838867,43.21746063232422,100,0,204007.52075195313,83522.39074707031,0,34088599552,2147483648,7997599744,0
200,1787762834645,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,34.4400634765625,0.35085296630859375,46.29945755004883,2.87054443359375,0.40439605712890625,1.5846710205078125,2.8982162475585938,2.8920745849609375,0.4641876220703125,0.46463775634765625,0.35984039306640625,0.41458892822265625,46.82743453979492,0.35809326171875,7.575157165527344,0.3882598876953125,0.57208251953125,0.42572784423828125,0.31328582763671875,35.92163848876953,0,204020.08978271484,83532.70568847656,0,34088599552,2147483648,8045981696,0
199,1787762834845,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,50.368202209472656,0.20214080810546875,73.7064208984375,0.21787261962890625,2.8210830688476563,0.3181915283203125,0.21407318115234375,0.25797271728515625,0.28733062744140625,2.8540420532226563,0.280242919921875,0.2544708251953125,53.09775161743164,0.21108245849609375,17.28692626953125,0.3108978271484375,0.808563232421875,0.28398895263671875,0.19794464111328125,50.295345306396484,0,204031.6483154297,83542.07568359375,0,34088599552,2147483648,8097648640,0
199,1787762835045,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,44.92858123779297,0.19891357421875,63.73609161376953,0.20696258544921875,0.29437255859375,6.2010345458984375,0.2618865966796875,0.21045684814453125,2.9362869262695313,0.357147216796875,2.8290863037109375,0.26683807373046875,48.653079986572266,0.2264556884765625,44.22293472290039,2.7582168579101563,37.425907135009766,0.2542877197265625,0.19971466064453125,48.79467010498047,0,204046.17950439453,83554.3530883789,0,34088599552,2147483648,8128651264,0
200,1787762835245,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,45.46318435668945,2.7922134399414063,62.84082794189453,0.232513427734375,0.25920867919921875,5.2003021240234375,0.2289581298828125,0.26025390625,0.3690338134765625,0.48346710205078125,0.41687774658203125,3.0021286010742188,49.24637985229492,0.20916748046875,51.03446960449219,0.22035980224609375,38.87507629394531,2.7755203247070313,0.1896209716796875,45.6451530456543,0,204062.27587890625,83568.19940185547,0,34088599552,2147483648,8163848192,0
199,1787762835445,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,45.449100494384766,0.26372528076171875,45.03413391113281,0.3507537841796875,0.2540435791015625,12.974739074707031,4.889350891113281,0.7076492309570313,6.980796813964844,0.46035003662109375,0.423553466796875,0.40128326416015625,39.45795440673828,0.3231964111328125,35.44786834716797,0.29154205322265625,33.0711669921875,0.310760498046875,2.8077392578125,53.934173583984375,0,204075.01336669922,83578.72735595703,0,34088599552,2147483648,8215310336,0
200,1787762835645,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.7122116088867188,0.1860198974609375,5.071846008300781,2.7818832397460938,0.30120086669921875,2.1323928833007813,2.8537673950195313,2.7884292602539063,0.181121826171875,0.26325225830078125,0.1552734375,0.29485321044921875,0.27785491943359375,2.771636962890625,0.23246002197265625,0.28070068359375,0.251007080078125,0.245361328125,0.21631622314453125,12.782203674316406,0,204083.33532714844,83584.90447998047,0,34088599552,2147483648,8215465984,0
200,1787762835846,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,13.318382263183594,0.19937896728515625,11.880020141601563,0.284912109375,3.0171051025390625,0.38739013671875,0.49237060546875,0.43985748291015625,0.32260894775390625,2.8424606323242188,0.2920379638671875,0.28485870361328125,4.4560699462890625,0.40624237060546875,1.1285629272460938,0.43895721435546875,0.6289138793945313,0.31926727294921875,0.276031494140625,14.453132629394531,0,204092.10577392578,83591.50561523438,0,34088599552,2147483648,8215982080,0
200,1787762836046,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,8.088165283203125,0.1880645751953125,13.751564025878906,0.22846221923828125,0.24920654296875,0.31314849853515625,0.3207244873046875,0.27234649658203125,2.791229248046875,0.20876312255859375,2.8208999633789063,0.2589874267578125,4.933074951171875,0.28386688232421875,1.133087158203125,2.9854812622070313,1.1748809814453125,0.33359527587890625,0.22885894775390625,16.08641815185547,0,204099.74975585938,83596.9906616211,0,34088599552,2147483648,8217862144,0
