Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787759722637,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77389.27001953125,253001.37561035156,0,34088599552,2147483648,7638364160,0
199,1787759722637,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,51.621742248535156,100,50.94913101196289,50.9541130065918,51.078670501708984,51.12849426269531,51.05376052856445,51.08365249633789,51.04877853393555,51.40251922607422,51.043792724609375,51.07368850708008,51.34771728515625,51.272979736328125,51.45234298706055,51.04877853393555,51.34771728515625,51.02386474609375,50.9541130065918,50.9541130065918,0,77389.28271484375,253001.37561035156,0,34088599552,2147483648,7638384640,0
200,1787759722837,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.333343505859375,45.758270263671875,46.58262634277344,2.9284133911132813,2.911224365234375,24.231781005859375,7.270713806152344,1.1890029907226563,10.601760864257813,3.016265869140625,0.5300140380859375,0.4591522216796875,68.65257263183594,2.9105758666992188,36.786231994628906,0.41547393798828125,38.52798843383789,0.406829833984375,28.53809356689453,0.41477203369140625,0,77404.3754272461,253014.16668701172,0,34088599552,2147483648,7703740416,0
200,1787759723037,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.5968475341796875,73.00554656982422,79.21708679199219,0.1941070556640625,0.35924530029296875,20.894775390625,5.8009033203125,10.717620849609375,20.4056396484375,0.8551254272460938,0.6906280517578125,0.6904296875,76.42324829101563,0.30072021484375,71.69593811035156,0.30062103271484375,80.56878662109375,0.24509429931640625,79.8363037109375,0.191558837890625,0,77419.48937988281,253026.95880126953,0,34088599552,2147483648,7779344384,0
200,1787759723238,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.65875244140625,64.81744384765625,69.24913787841797,0.3162841796875,0.26165771484375,26.96924591064453,6.418434143066406,0.6839447021484375,22.388641357421875,0.24609375,2.782135009765625,0.29288482666015625,65.67869567871094,0.2900390625,77.5107421875,0.27143096923828125,52.928627014160156,0.27123260498046875,61.84998321533203,0.28440093994140625,0,77437.11517333984,253042.23272705078,0,34088599552,2147483648,7824662528,0
200,1787759723438,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.6732406616210938,53.999786376953125,61.97827911376953,0.25928497314453125,0.25518798828125,30.525123596191406,8.783622741699219,1.1674728393554688,14.994735717773438,0.6483612060546875,0.338714599609375,2.8076553344726563,46.07859802246094,0.257537841796875,53.53317642211914,2.79241943359375,53.5002555847168,2.7809295654296875,46.43959426879883,2.81060791015625,0,77451.85095214844,253054.70727539063,0,34088599552,2147483648,7812886528,0
200,1787759723638,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7357254028320313,47.95442199707031,40.273136138916016,0.22740936279296875,0.24901580810546875,11.424293518066406,2.8088302612304688,0.3939666748046875,1.1935272216796875,0.231201171875,0.32653045654296875,0.31325531005859375,46.022518157958984,0.21752166748046875,43.97027587890625,0.228851318359375,41.88603973388672,0.1986083984375,40.24433517456055,0.2470245361328125,0,77467.15588378906,253067.78149414063,0,34088599552,2147483648,7853387776,0
200,1787759723839,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.18743896484375,8.154151916503906,0.4850006103515625,2.7912139892578125,2.8011856079101563,0.24835968017578125,0.19704437255859375,0.20966339111328125,0.34476470947265625,0.3991241455078125,0.373687744140625,0.4419097900390625,36.37672805786133,2.7198944091796875,19.701622009277344,0.1835784912109375,9.778572082519531,0.21170806884765625,24.309898376464844,0.217742919921875,0,77478.22216796875,253076.68383789063,0,34088599552,2147483648,7855046656,0
199,1787759724039,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7609100341796875,18.12316131591797,1.4630203247070313,0.392547607421875,0.36641693115234375,0.5120468139648438,0.30532073974609375,2.8925704956054688,0.67901611328125,3.0887680053710938,0.49982452392578125,0.5273056030273438,47.240665435791016,0.27165985107421875,8.028518676757813,0.29250335693359375,5.385955810546875,0.29933929443359375,3.1401901245117188,0.34342193603515625,0,77487.73846435547,253084.06219482422,0,34088599552,2147483648,7861051392,0
200,1787759724239,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7690277099609375,21.25177001953125,6.3521575927734375,0.2554779052734375,0.3482208251953125,0.35881805419921875,0.3408203125,0.36121368408203125,2.8924789428710938,0.4156646728515625,2.9587783813476563,0.43131256103515625,30.57000732421875,0.23952484130859375,15.063796997070313,0.21977996826171875,5.3724517822265625,0.2478790283203125,1.5545578002929688,0.299468994140625,0,77497.20373535156,253091.38287353516,0,34088599552,2147483648,7862501376,0
