Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787752528080,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,98.76239776611328,0,0,0,6.879081726074219,0,0,0,0,0,0,100,0,99.77906036376953,0,0,0,0,0,0,28390.66143798828,18921.33770751953,0,34088599552,2147483648,7663353856,0
199,1787752528080,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,28391.21807861328,18921.33770751953,0,34088599552,2147483648,7663374336,0
200,1787752528280,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,1.2226028442382813,21.036651611328125,34.64048767089844,0.7477493286132813,0.7167282104492188,62.97416305541992,24.09246063232422,10.56756591796875,27.45013427734375,3.67108154296875,2.5960617065429688,13.062713623046875,50.59059524536133,0.7262725830078125,29.165626525878906,0.72283935546875,33.02674102783203,0.7246322631835938,18.08220672607422,0.7238845825195313,0,28404.12225341797,18931.97003173828,0,34088599552,2147483648,7709466624,0
200,1787752528480,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.8601913452148438,52.584102630615234,52.499080657958984,0.2364044189453125,0.32611846923828125,30.35210418701172,9.953514099121094,3.4146347045898438,17.469642639160156,0.25885772705078125,0.3338470458984375,0.2802581787109375,54.701908111572266,0.248077392578125,59.2681770324707,2.7703399658203125,48.695960998535156,0.21953582763671875,43.5228157043457,2.7795181274414063,0,28418.654296875,18944.189331054688,0,34088599552,2147483648,7758790656,0
200,1787752528681,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.652313232421875,41.50509262084961,56.00775909423828,0.28592681884765625,0.34441375732421875,44.25944137573242,1.8525619506835938,0.2453765869140625,24.206932067871094,0.36528778076171875,0.255615234375,0.2635498046875,48.669525146484375,2.8029937744140625,49.995182037353516,0.277740478515625,46.76177215576172,2.7941055297851563,52.626617431640625,0.298614501953125,0,28431.92608642578,18955.169189453125,0,34088599552,2147483648,7799185408,0
200,1787752528881,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.0983047485351563,47.79103469848633,33.771995544433594,2.7251663208007813,2.7631759643554688,25.677017211914063,1.07501220703125,0.1898193359375,11.764320373535156,2.7801589965820313,0.20020294189453125,0.1883697509765625,61.17619323730469,0.163787841796875,55.35816955566406,0.14940643310546875,57.68197250366211,0.15364837646484375,49.465667724609375,0.18686676025390625,0,28447.365356445313,18968.35125732422,0,34088599552,2147483648,7832219648,0
200,1787752529081,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.971405029296875,69.35277557373047,65.37881469726563,0.26371002197265625,0.4822845458984375,34.90886688232422,22.89116668701172,19.56023406982422,49.75019454956055,8.818496704101563,6.323844909667969,0.627044677734375,74.1278076171875,0.25876617431640625,72.20521545410156,0.24903106689453125,69.2078628540039,0.2491302490234375,62.12963104248047,0.25238037109375,0,28467.458251953125,18985.992309570313,0,34088599552,2147483648,7934164992,0
200,1787752529282,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.6454696655273438,31.833961486816406,11.519096374511719,0.28183746337890625,0.22324371337890625,25.619232177734375,0.41017913818359375,0.24349212646484375,29.98204803466797,0.260986328125,0.22563934326171875,2.7907257080078125,63.61953353881836,0.18294525146484375,37.446571350097656,0.15859222412109375,28.154075622558594,0.1944427490234375,8.974708557128906,0.23503875732421875,0,28476.22479248047,18992.55078125,0,34088599552,2147483648,7935979520,0
200,1787752529482,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7361221313476563,23.880271911621094,3.1304473876953125,0.29694366455078125,0.1876220703125,12.748817443847656,2.8324127197265625,0.16896820068359375,30.520103454589844,0.212158203125,0.19260406494140625,0.1965484619140625,60.334564208984375,0.13924407958984375,20.455726623535156,2.7448348999023438,51.391319274902344,0.191009521484375,3.9390335083007813,2.7995452880859375,0,28485.822265625,18999.937133789063,0,34088599552,2147483648,7935889408,0
200,1787752529683,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.838592529296875,17.492759704589844,3.2332839965820313,0.3914947509765625,0.313140869140625,0.31967926025390625,0.31743621826171875,0.3587799072265625,0.42430877685546875,0.28197479248046875,0.349151611328125,0.3517913818359375,63.039161682128906,2.7790985107421875,49.011444091796875,0.1928558349609375,14.692359924316406,2.8343124389648438,9.844779968261719,0.3013763427734375,0,28496.012451171875,19007.91162109375,0,34088599552,2147483648,7936573440,0
