Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787751145993,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,2.0262527465820313,2.79766845703125,1.6122589111328125,1.6341171264648438,1.5711212158203125,1.457977294921875,1.695831298828125,17.211585998535156,28.589981079101563,1.4104080200195313,1.3564071655273438,1.3512649536132813,1.6238327026367188,98.27973937988281,99.54615020751953,1.5531158447265625,2.2075347900390625,1.7524032592773438,1.6199722290039063,1.6238327026367188,0,226792.66735839844,232079.8042602539,0,34088599552,2147483648,7720026112,0
197,1787751145996,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,37.19321060180664,0,0,17.364463806152344,87.05630493164063,0,0,0,0,0,78.40892028808594,0,0,0,0,0,0,226792.70568847656,232080.1625366211,0,34088599552,2147483648,7720054784,0
200,1787751146193,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,2.026824951171875,1.2177963256835938,10.875106811523438,0.9127578735351563,2.707763671875,0.930419921875,0.8723907470703125,14.347160339355469,5.165550231933594,0.8744049072265625,3.42388916015625,0.8972549438476563,3.5420608520507813,64.60124206542969,41.92348098754883,0.8241806030273438,36.116241455078125,0.82342529296875,36.19248962402344,0.842498779296875,0,226805.00158691406,232089.83087158203,0,34088599552,2147483648,7764852736,0
200,1787751146393,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,2.0843582153320313,0.32273101806640625,37.76780319213867,0.25800323486328125,0.3310699462890625,0.3685760498046875,0.35639190673828125,1.87744140625,0.8391876220703125,0.25885009765625,0.27423858642578125,2.82415771484375,0.36663055419921875,67.03297424316406,62.432716369628906,0.1990203857421875,61.32284164428711,0.1900787353515625,54.85971450805664,0.20076751708984375,0,226817.46118164063,232100.0210571289,0,34088599552,2147483648,7808069632,0
199,1787751146594,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,28.730453491210938,2.7200927734375,67.97737884521484,0.14086151123046875,0.27762603759765625,2.723236083984375,0.1970672607421875,26.692657470703125,4.408531188964844,0.30228424072265625,0.35434722900390625,0.38509368896484375,0.28017425537109375,57.37055587768555,56.175533294677734,2.6664276123046875,55.5497932434082,0.12613677978515625,48.51052474975586,2.6758651733398438,0,226827.8045654297,232108.0064086914,0,34088599552,2147483648,7844356096,0
200,1787751146794,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,45.71928787231445,0.34749603271484375,62.017765045166016,0.38323974609375,4.3996429443359375,0.33829498291015625,2.8823394775390625,59.964744567871094,22.428436279296875,0.902801513671875,0.4907684326171875,0.4653778076171875,0.37384033203125,47.42921447753906,48.18294143676758,0.35584259033203125,53.69085693359375,2.8975372314453125,48.641170501708984,0.38439178466796875,0,226843.3848876953,232121.31036376953,0,34088599552,2147483648,7879573504,0
200,1787751146994,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,59.192020416259766,0.17430877685546875,61.22225570678711,2.6752166748046875,23.899742126464844,0.13469696044921875,0.1152191162109375,50.72896194458008,35.716758728027344,4.3248291015625,0.213409423828125,0.11817169189453125,0.19049072265625,67.24778747558594,64.1361083984375,0.152679443359375,65.01812744140625,0.1603240966796875,62.829612731933594,0.14633941650390625,0,226858.31201171875,232133.83331298828,0,34088599552,2147483648,7982391296,0
199,1787751147195,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,17.097976684570313,0.37415313720703125,29.473854064941406,0.45943450927734375,11.576499938964844,0.40167999267578125,0.36566925048828125,17.441505432128906,22.695114135742188,14.821762084960938,6.959373474121094,0.5232696533203125,2.9977340698242188,54.50672912597656,39.954036712646484,0.34946441650390625,34.34742736816406,0.39904022216796875,31.835403442382813,0.43230438232421875,0,226870.00421142578,232143.2674560547,0,34088599552,2147483648,7985872896,0
200,1787751147395,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,5.287017822265625,0.4886932373046875,29.858482360839844,0.23357391357421875,0.24607086181640625,0.233123779296875,0.363311767578125,0.4389495849609375,0.24332427978515625,0.3179168701171875,0.21402740478515625,2.872833251953125,0.4385528564453125,52.44480895996094,27.91704559326172,0.216278076171875,14.968757629394531,0.2475738525390625,43.61647415161133,0.2124786376953125,0,226881.9434814453,232152.98211669922,0,34088599552,2147483648,7987027968,0
200,1787751147595,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,6.600395202636719,0.1551513671875,1.460662841796875,0.01755523681640625,0,2.5394210815429688,0,0.0237884521484375,0,0.0094757080078125,0,0,0.424346923828125,70.83676147460938,49.30769348144531,2.40716552734375,38.33417510986328,0,29.024398803710938,2.4728927612304688,0,226894.33959960938,232163.22314453125,0,34088599552,2147483648,7983501312,0
