Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787750091107,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,0,0,0,10.820121765136719,0,0,0,0,0,0,0,0,0,43.88612365722656,0,70.98716735839844,0,0,0,0,178542.5189819336,195099.05529785156,0,34088599552,2147483648,7845044224,0
200,1787750091107,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,178542.53314208984,195099.05529785156,0,34088599552,2147483648,7845122048,0
200,1787750091307,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,7.119941711425781,0.6945571899414063,47.902828216552734,0.5778121948242188,4.912811279296875,3.2486495971679688,0.7212448120117188,0.6857147216796875,1.5580520629882813,0.7019119262695313,0.7568817138671875,0.6526107788085938,0.6724395751953125,0.6940155029296875,34.86170959472656,3.1240997314453125,46.87642288208008,0.5636978149414063,37.686119079589844,3.0976104736328125,0,178555.23767089844,195109.4530029297,0,34088599552,2147483648,7884468224,0
199,1787750091508,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,26.31230926513672,2.7734222412109375,70.15847778320313,0.1844635009765625,2.8487396240234375,0.26502227783203125,2.84063720703125,0.2763214111328125,0.3795166015625,0.361328125,0.40171051025390625,0.34633636474609375,0.6129074096679688,0.264373779296875,51.1329345703125,0.1746673583984375,53.18190383911133,2.705902099609375,53.06800842285156,0.18750762939453125,0,178568.22973632813,195120.1612548828,0,34088599552,2147483648,7935000576,0
200,1787750091708,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,48.66251754760742,0.16066741943359375,64.13357543945313,2.6875152587890625,4.800384521484375,1.6082611083984375,0.2470550537109375,0.183013916015625,2.246246337890625,0.28910064697265625,0.2017669677734375,0.1474761962890625,21.847457885742188,2.7520523071289063,51.890384674072266,0.15196990966796875,59.40762710571289,0.1495208740234375,51.07978057861328,0.184967041015625,0,178579.41400146484,195128.97686767578,0,34088599552,2147483648,7976566784,0
199,1787750091908,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,48.41356658935547,0.31512451171875,70.58885192871094,0.34607696533203125,15.021095275878906,8.788970947265625,5.429512023925781,5.144737243652344,15.595443725585938,2.8893890380859375,2.8385772705078125,0.37542724609375,52.026702880859375,0.3438262939453125,54.97609329223633,0.3443756103515625,52.1608772277832,0.3649444580078125,50.06332015991211,0.3583526611328125,0,178594.61181640625,195141.82830810547,0,34088599552,2147483648,8009728000,0
200,1787750092108,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,55.185577392578125,0.1630401611328125,71.99811553955078,0.10992431640625,18.89386749267578,12.986679077148438,14.768974304199219,4.5009918212890625,23.206390380859375,0.16239166259765625,0.12441253662109375,2.5923385620117188,41.88191223144531,0.21075439453125,66.35664367675781,0.1284637451171875,69.04891967773438,0.12981414794921875,63.23176574707031,0.108428955078125,0,178610.10400390625,195154.81420898438,0,34088599552,2147483648,8101515264,0
200,1787750092309,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,31.05072784423828,0.1527862548828125,40.37632369995117,0.16668701171875,17.56726837158203,3.41680908203125,0.6842498779296875,0.5449600219726563,12.95599365234375,0.2015380859375,0.19098663330078125,0.16999053955078125,45.72895050048828,0.21773529052734375,49.7457160949707,2.7481613159179688,45.3746223449707,0.1815338134765625,48.419960021972656,2.6677627563476563,0,178624.51904296875,195166.88061523438,0,34088599552,2147483648,8105930752,0
199,1787750092509,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.1934585571289063,2.885040283203125,10.910560607910156,0.26163482666015625,2.8232955932617188,0.240692138671875,2.8195114135742188,0.22263336181640625,0.27700042724609375,0.28557586669921875,0.288970947265625,0.28337860107421875,0.34801483154296875,0.27939605712890625,21.06000518798828,0.16857147216796875,28.106407165527344,2.713775634765625,31.36365509033203,0.25510406494140625,0,178633.83422851563,195173.96490478516,0,34088599552,2147483648,8105418752,0
200,1787750092709,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.1474533081054688,0.19452667236328125,0.5126876831054688,2.870941162109375,0.3440093994140625,0.23592376708984375,0.34740447998046875,0.29961395263671875,0.297210693359375,0.3060150146484375,0.2901153564453125,0.29581451416015625,0.32245635986328125,2.8225479125976563,19.90789031982422,0.24462127685546875,79.0052490234375,0.17102813720703125,6.1759185791015625,0.34011077880859375,0,178642.68060302734,195180.58905029297,0,34088599552,2147483648,8107810816,0
