Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787757565874,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0,23.446815490722656,0,0,0,0,0,0,0,0,0,0,67.32759857177734,0,0,0,0,0,0,0,0,256212.00256347656,192630.2130126953,0,34088599552,2147483648,7746572288,0
199,1787757565874,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,256212.01531982422,192630.2130126953,0,34088599552,2147483648,7746592768,0
200,1787757566074,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.8207244873046875,39.97836685180664,0.5336761474609375,0.5266952514648438,0.45079803466796875,16.59637451171875,1.4288406372070313,0.46128082275390625,0.6492843627929688,0.470062255859375,0.5472946166992188,3.0513763427734375,64.21665954589844,0.40285491943359375,44.4527473449707,2.9550323486328125,34.549293518066406,0.4229583740234375,10.957489013671875,3.0065231323242188,0,256223.75805664063,192639.64154052734,0,34088599552,2147483648,7795769344,0
200,1787757566275,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7405242919921875,46.940670013427734,42.757240295410156,0.239532470703125,0.333343505859375,14.776901245117188,2.7988433837890625,0.20386505126953125,0.2515716552734375,0.18967437744140625,0.310516357421875,0.30661773681640625,52.756805419921875,0.1837310791015625,51.44535446166992,0.190673828125,50.015010833740234,2.7502365112304688,44.921714782714844,0.17104339599609375,0,256237.41259765625,192650.99090576172,0,34088599552,2147483648,7844098048,0
200,1787757566475,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.1540451049804688,48.08966064453125,45.04603958129883,0.45531463623046875,2.8664321899414063,33.130035400390625,1.427825927734375,0.6250228881835938,3.8710784912109375,0.27169036865234375,0.32857513427734375,0.28646087646484375,54.59923553466797,2.78375244140625,55.51815414428711,0.22194671630859375,46.08416748046875,0.206329345703125,51.15279006958008,0.200592041015625,0,256252.79748535156,192664.05926513672,0,34088599552,2147483648,7876743168,0
200,1787757566675,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.77899169921875,49.994937896728516,48.950557708740234,2.616790771484375,0.4972991943359375,37.57804870605469,0.43753814697265625,2.9256210327148438,12.133041381835938,2.9361495971679688,0.43573760986328125,0.39324188232421875,55.3836555480957,0.34958648681640625,53.74081039428711,0.36196136474609375,62.44634246826172,0.34474945068359375,49.3492317199707,0.36495208740234375,0,256268.30541992188,192677.27056884766,0,34088599552,2147483648,7918489600,0
200,1787757566876,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.787994384765625,66.14811706542969,66.51862335205078,0.164276123046875,0.2215423583984375,52.067893981933594,37.17652130126953,9.906379699707031,46.95743942260742,0.48798370361328125,2.68450927734375,0.1508026123046875,66.96369934082031,0.1691131591796875,68.20985412597656,0.1684112548828125,67.35216522216797,0.17530059814453125,64.15213775634766,0.1783905029296875,0,256286.05993652344,192692.56182861328,0,34088599552,2147483648,8018366464,0
200,1787757567077,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.7711257934570313,37.319602966308594,11.5625,0.2639617919921875,0.294830322265625,20.348724365234375,4.998199462890625,0.243560791015625,4.999847412109375,0.306793212890625,0.286346435546875,2.8001632690429688,48.98643112182617,0.18027496337890625,38.04445266723633,2.7677459716796875,44.7542724609375,0.23972320556640625,15.905868530273438,2.8129806518554688,0,256299.35076904297,192703.59436035156,0,34088599552,2147483648,8019197952,0
200,1787757567277,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,0.9497604370117188,28.768943786621094,3.0727081298828125,0.37982177734375,0.38356781005859375,0.35204315185546875,2.9187545776367188,0.3624725341796875,0.49737548828125,0.3623199462890625,0.3764801025390625,0.37433624267578125,65.965087890625,0.30850982666015625,19.282012939453125,0.29215240478515625,29.166473388671875,2.8900222778320313,19.010963439941406,0.40875244140625,0,256309.8397216797,192711.88580322266,0,34088599552,2147483648,8020152320,0
200,1787757567477,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3.2630081176757813,25.739212036132813,0.81011962890625,0.3484344482421875,2.8334884643554688,0.3023529052734375,0.32199859619140625,0.2785186767578125,0.34633636474609375,0.270538330078125,0.30464935302734375,0.24759674072265625,53.53825759887695,2.73858642578125,38.572818756103516,0.1937408447265625,44.090885162353516,0.25188446044921875,9.650588989257813,0.33980560302734375,0,256319.67193603516,192719.4833984375,0,34088599552,2147483648,8017580032,0
