Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_12,CPU_FREQUENCY_13,CPU_FREQUENCY_14,CPU_FREQUENCY_15,CPU_FREQUENCY_16,CPU_FREQUENCY_17,CPU_FREQUENCY_18,CPU_FREQUENCY_19,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_12,CPU_USAGE_13,CPU_USAGE_14,CPU_USAGE_15,CPU_USAGE_16,CPU_USAGE_17,CPU_USAGE_18,CPU_USAGE_19,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1787756759758,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,9.973388671875,0,26.035202026367188,0,76.16825866699219,0,0,0,0,0,87.82830047607422,0,0,0,0,0,0,0,0,0,0,219769.09552001953,164844.23107910156,0,34088599552,2147483648,7718707200,0
200,1787756759758,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,219769.1182861328,164844.23107910156,0,34088599552,2147483648,7718739968,0
200,1787756759958,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,37.586753845214844,0.6500701904296875,52.93024444580078,0.6330642700195313,10.849342346191406,1.0058670043945313,3.0091476440429688,1.8016586303710938,0.7028884887695313,0.6501235961914063,20.539833068847656,9.52960205078125,59.64107894897461,0.6710128784179688,24.085853576660156,0.6759796142578125,13.557594299316406,0.6885147094726563,7.581825256347656,0.7115402221679688,0,219780.71752929688,164853.50689697266,0,34088599552,2147483648,7764471808,0
200,1787756760158,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,48.493927001953125,0.12375640869140625,69.12406158447266,0.12285614013671875,5.808631896972656,2.8069686889648438,0.2081756591796875,0.227996826171875,2.7965316772460938,0.09615325927734375,26.417449951171875,8.881179809570313,55.673465728759766,0.12136077880859375,54.77691650390625,2.6407241821289063,41.468048095703125,0.1087799072265625,26.88172149658203,2.6863555908203125,0,219794.6519165039,164866.12115478516,0,34088599552,2147483648,7821561856,0
199,1787756760359,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,52.1172981262207,2.8581008911132813,64.83357238769531,0.32120513916015625,0.38042449951171875,0.39035797119140625,2.9199600219726563,0.324554443359375,0.38481903076171875,0.43144989013671875,3.195281982421875,0.32544708251953125,57.500953674316406,0.33882904052734375,48.45256423950195,0.30153656005859375,39.565101623535156,2.0312881469726563,44.55260467529297,0.31072235107421875,0,219811.0675048828,164879.3487548828,0,34088599552,2147483648,7853416448,0
200,1787756760559,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,55.99460220336914,0.2872314453125,65.20621490478516,0.28199005126953125,12.524642944335938,0.38822174072265625,0.418304443359375,0.410614013671875,0.34365081787109375,0.2678985595703125,22.03337860107422,0.3451995849609375,56.78019714355469,0.27164459228515625,54.666622161865234,0.2797393798828125,48.185028076171875,1.09466552734375,40.52421569824219,0.3068695068359375,0,219826.9404296875,164893.38165283203,0,34088599552,2147483648,7886049280,0
200,1787756760759,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,63.85257339477539,0.21756744384765625,65.22975158691406,2.7226791381835938,45.28595733642578,17.161544799804688,0.468505859375,2.785888671875,0.3108062744140625,2.6852645874023438,60.695159912109375,22.289268493652344,66.42708587646484,2.7525634765625,66.58213806152344,0.20050048828125,66.64115905761719,0.20843505859375,70.7120361328125,0.21002960205078125,0,219844.31658935547,164907.95373535156,0,34088599552,2147483648,7990538240,0
200,1787756760960,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,41.76987075805664,0.2845611572265625,30.887657165527344,0.33367919921875,4.554557800292969,0.37258148193359375,0.30585479736328125,0.34659576416015625,0.3958740234375,0.3288421630859375,36.11098098754883,0.3330841064453125,50.704891204833984,0.25568389892578125,32.381622314453125,0.32834625244140625,22.56743621826172,0.38689422607421875,15.072166442871094,0.3577728271484375,0,219855.49633789063,164916.66534423828,0,34088599552,2147483648,7986221056,0
200,1787756761160,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,6.9207611083984375,0.16033935546875,29.248992919921875,0.2254180908203125,0.3458099365234375,2.836090087890625,0.29279327392578125,0.29334259033203125,2.7729034423828125,0.26601409912109375,2.9490509033203125,2.8574371337890625,54.35607147216797,0.2302093505859375,11.805915832519531,2.7716064453125,52.612762451171875,0.178436279296875,3.8067398071289063,2.80841064453125,0,219865.82934570313,164924.75646972656,0,34088599552,2147483648,7987392512,0
200,1787756761361,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,3500,13.570953369140625,2.70025634765625,66.57380676269531,0.1540069580078125,0.23773956298828125,0.32062530517578125,2.7796554565429688,0.24462127685546875,0.3848114013671875,0.26322174072265625,3.8274078369140625,0.3263092041015625,60.27101135253906,0.1639251708984375,7.370796203613281,0.26860809326171875,14.386802673339844,0.28441619873046875,1.3240966796875,0.30945587158203125,0,219876.0887451172,164932.8042602539,0,34088599552,2147483648,7985385472,0
